,date,equity,position
0,2024-02-05,100000.0,1
1,2024-02-08,98256.44472895299,0
2,2024-03-01,98256.44472895299,-1
3,2024-03-11,98119.66765811727,0
4,2024-04-04,98119.66765811727,-1
5,2024-04-15,98473.26002928319,0
6,2024-05-21,98473.26002928319,1
7,2024-05-23,99415.8029620451,0
8,2024-05-30,99415.8029620451,-1
9,2024-06-04,101846.76281721784,0
10,2024-06-25,101846.76281721784,-1
11,2024-07-09,101854.052338542,0
12,2024-07-24,101854.052338542,1
13,2024-07-31,102125.43319482874,0
14,2024-08-05,102125.43319482874,1
15,2024-08-12,102743.38325588737,0
16,2024-08-13,102743.38325588737,1
17,2024-08-14,102480.03472377057,0
18,2024-08-27,102480.03472377057,-1
19,2024-08-28,102618.89746572204,0
20,2024-09-03,102618.89746572204,-1
21,2024-09-06,104078.672328167,0
22,2024-09-18,104078.672328167,-1
23,2024-10-03,105245.56801871934,0
24,2024-10-11,105245.56801871934,1
25,2024-10-18,106464.4545743932,0
26,2024-12-04,106464.4545743932,-1
27,2024-12-17,107000.987991223,0
28,2024-12-24,107000.987991223,1
29,2025-01-16,103062.48666928986,0
30,2025-01-17,103062.48666928986,1
31,2025-01-20,104165.31970312752,0
32,2025-01-22,104165.31970312752,1
33,2025-01-24,103381.71172852434,0
34,2025-01-27,103381.71172852434,1
35,2025-01-28,104487.88646206222,0
36,2025-02-06,104487.88646206222,-1
37,2025-02-07,104755.46129389081,0
38,2025-02-10,104755.46129389081,-1
39,2025-02-11,105528.12404014423,0
40,2025-02-24,105528.12404014423,1
41,2025-03-06,105418.00370303917,0
42,2025-03-10,105418.00370303917,1
43,2025-03-17,105575.63328870844,0
44,2025-03-20,105575.63328870844,-1
45,2025-04-07,105819.00002040359,0
46,2025-04-21,105819.00002040359,-1
47,2025-05-08,106992.00593710231,0
48,2025-05-29,106992.00593710231,-1
49,2025-05-30,106559.73029157451,0
50,2025-06-02,106559.73029157451,-1
51,2025-06-03,106903.95945438155,0
52,2025-06-06,106903.95945438155,-1
53,2025-06-12,107489.84914719537,0
54,2025-07-03,107489.84914719537,-1
55,2025-07-04,106998.95194022669,0
56,2025-07-07,106998.95194022669,-1
57,2025-07-10,106925.8252273669,0
58,2025-07-18,106925.8252273669,1
59,2025-07-21,107729.29697957133,0
60,2025-08-04,107729.29697957133,1
61,2025-08-07,107487.19183568904,0
62,2025-08-08,107487.19183568904,1
63,2025-08-18,108392.94099959692,0
64,2025-08-28,108392.94099959692,1
65,2025-09-01,108593.57462229358,0
66,2025-09-02,108593.57462229358,1
67,2025-09-03,109097.36480597692,0
68,2025-09-05,109097.36480597692,1
69,2025-09-11,109797.97481446844,0
70,2025-09-17,109797.97481446844,-1
71,2025-09-26,111236.17561473354,0
72,2025-10-13,111236.17561473354,-1
73,2025-10-14,111360.10677602302,0
74,2025-10-15,111360.10677602302,-1
75,2024-02-29,100000.0,1
